Site,lat,lon,Easting,Northing
ALS,43.134867,-72.327917,246200.558,70737.103
BRN,42.731521,-71.605841,304981.157,25719.506
CHI,43.25528,-71.37638,323571.248,83942.443
CNA,43.352482,-71.581153,306932.645,94703.729
CNB,43.356204,-71.490022,314319.817,95128.831
COR,43.517868,-72.384631,241952.41,113324.59
EPS,43.206489,-71.364058,324591.403,78525.621
FOX,43.137939,-71.912814,279974.528,70895.19
GIL,43.029237,-72.290639,249146.447,58978.958
GRN,42.933521,-71.871152,283308.657,48177.326
HOL,43.7348,-71.59076,306115.034,137178.367
HOP,43.155838,-71.727587,295045.235,72856.014
MAP,42.72248,-71.606722,304909.723,24715.147
MAS,42.984078,-71.364988,324604.709,53817.489
MTV,42.873336,-71.6843,298559.259,41471.408
PEN,43.28195,-71.59404,305894.702,86866.971
ROL,43.228134,-70.832969,367726.364,81223.264
SWZ,42.845757,-72.252827,252086.071,38574.279
WLD,43.015987,-72.019994,271197.765,57378.651
WLT,42.812914,-71.752329,292994.089,34762.780
