Site,Year,Metric,meanValue,medianValue,sdValue
ALS,2016,faithpd,1.81,1.8396835515,0.57
BRN,2015,faithpd,1.43,1.2296227185,0.93
BRN,2016,faithpd,1.26,1.1771883535,0.46
CHI,2016,faithpd,1.82,1.4550372585,0.96
CNA,2016,faithpd,1.28,1.210096168,0.42
CNB,2016,faithpd,2.32,2.1203554225,1.08
COR,2015,faithpd,2.05,2.0020675775,0.72
COR,2016,faithpd,1.76,1.5724695845,0.84
EPS,2016,faithpd,1.53,1.5081454115,0.5
FOX,2015,faithpd,1.45,1.2583353055,0.8
FOX,2016,faithpd,1.69,1.592295528,0.83
GIL,2015,faithpd,1.39,1.3804433545,0.48
GIL,2016,faithpd,1.37,1.3936521335,0.42
GRN,2015,faithpd,1.4,1.3784927635,0.31
HOL,2016,faithpd,2.05,1.9814730345,0.89
HOP,2015,faithpd,1.61,1.427470848,0.88
HOP,2016,faithpd,1.64,1.5275963565,0.75
MAP,2015,faithpd,1.66,1.4087505135,0.75
MAP,2016,faithpd,1.31,1.1837574765,0.57
MAS,2015,faithpd,1.9,2.0203651595,1
MAS,2016,faithpd,1.99,1.1049557915,1.54
MTV,2016,faithpd,1.91,1.9052834135,0.71
PEN,2016,faithpd,2.03,2.0362888465,0.59
SWZ,2015,faithpd,1.76,1.7704549745,0.75
WLD,2015,faithpd,2.2,2.2768045145,1.14
WLT,2015,faithpd,1.23,0.9249668035,0.61
ALS,2016,observed,11.49,12,4.33
BRN,2015,observed,8.18,5,7.68
BRN,2016,observed,21.88,16,21.86
CHI,2016,observed,11.02,9,6.93
CNA,2016,observed,20.81,14.5,19.54
CNB,2016,observed,23.05,16,19.86
COR,2015,observed,12,11.5,4.92
COR,2016,observed,9.28,7,5.99
EPS,2016,observed,39.8,32,32.92
FOX,2015,observed,9.94,7,7.88
FOX,2016,observed,13.15,9.5,12.68
GIL,2015,observed,7.8,8,3.96
GIL,2016,observed,14.88,11,17.54
GRN,2015,observed,6.67,8,2.31
HOL,2016,observed,13.27,11,8.86
HOP,2015,observed,10.32,9,7.02
HOP,2016,observed,13.07,10,14.17
MAP,2015,observed,15.25,9.5,20.52
MAP,2016,observed,27.82,14,27.98
MAS,2015,observed,12.45,12,7.27
MAS,2016,observed,20.6,14,17.5
MTV,2016,observed,12.54,12,5.62
PEN,2016,observed,23.54,17,20.83
SWZ,2015,observed,12.53,9,10.99
WLD,2015,observed,15.15,16,8.46
WLT,2015,observed,7.48,6,4.45
ALS,2016,shannon,1.86,1.84302905807131,0.99
BRN,2015,shannon,1.05,0.781370180139911,1.08
BRN,2016,shannon,1.92,2.21182159818014,0.99
CHI,2016,shannon,1.23,1.00796990285636,0.94
CNA,2016,shannon,1.81,1.91739668351472,0.83
CNB,2016,shannon,1.93,1.87820338426409,1.33
COR,2015,shannon,1.2,1.39671732220094,0.61
COR,2016,shannon,1.5,1.57471512196137,1
EPS,2016,shannon,2.32,2.68817239105382,1.27
FOX,2015,shannon,1.01,0.491834608944521,1.08
FOX,2016,shannon,1.19,1.03993171432275,0.86
GIL,2015,shannon,0.66,0.394916498841019,0.73
GIL,2016,shannon,1.09,1.01304461872019,0.85
GRN,2015,shannon,0.27,0.259018289056311,0.24
HOL,2016,shannon,1.65,1.50313342332469,1.14
HOP,2015,shannon,1.13,0.539217379616301,1.16
HOP,2016,shannon,1.35,1.14946471277983,1.14
MAP,2015,shannon,1.16,0.745876567104065,1.17
MAP,2016,shannon,2.08,2.24173096237449,1.03
MAS,2015,shannon,1.33,1.2398209857625,1
MAS,2016,shannon,2.38,2.89241777395231,1.38
MTV,2016,shannon,1.3,1.11198418825685,0.97
PEN,2016,shannon,1.9,1.96047624929007,1.04
SWZ,2015,shannon,1.27,1.127346762069,0.87
WLD,2015,shannon,1.61,1.24713310270848,1.11
WLT,2015,shannon,0.72,0.491095821086956,0.75
