diff	lwr	upr	p.adj	Pairs
-8.82	-14.612	-3.022	0	FOX-EPS
9.56	3.263	15.86	0	EPS-CHI
-8.97	-15.045	-2.891	0	HOL-EPS
-9.4	-15.861	-2.93	0	HOP-EPS
8.2	2.228	14.177	0.001	MAP-CHI
7.46	2.017	12.899	0.001	MAP-FOX
7.61	1.869	13.35	0.001	MAP-HOL
8.04	1.887	14.187	0.002	MAP-HOP
-7.84	-14.158	-1.525	0.004	MTV-EPS
-6.48	-12.477	-0.489	0.023	MTV-MAP
7.1	0.452	13.743	0.026	EPS-BRN
5.95	-0.491	12.396	0.097	EPS-CNB
5.74	-0.6	12.078	0.113	MAP-BRN
4.59	-1.534	10.722	0.325	MAP-CNB
3.61	-2.491	9.709	0.657	CNB-CHI
-3.44	-9.715	2.829	0.743	HOP-CNB
-3.02	-8.887	2.855	0.807	HOL-CNB
-2.86	-8.443	2.714	0.808	FOX-CNB
-2.46	-8.776	3.848	0.954	CHI-BRN
-2.3	-8.777	4.181	0.974	HOP-BRN
-1.89	-8.008	4.229	0.989	MTV-CNB
-1.87	-7.962	4.221	0.99	HOL-BRN
-1.72	-7.529	4.091	0.992	FOX-BRN
1.72	-4.245	7.685	0.993	MTV-CHI
1.55	-4.587	7.695	0.997	MTV-HOP
-1.36	-7.684	4.967	0.999	MAP-EPS
1.13	-4.604	6.857	1	MTV-HOL
0.98	-4.456	6.406	1	MTV-FOX
1.15	-5.312	7.602	1	CNB-BRN
0.74	-4.665	6.154	1	FOX-CHI
-0.74	-7.074	5.586	1	MTV-BRN
0.59	-5.117	6.304	1	HOL-CHI
-0.58	-6.182	5.025	1	HOP-FOX
-0.43	-6.322	5.467	1	HOP-HOL
-0.15	-5.301	4.999	1	HOL-FOX
0.17	-5.957	6.288	1	HOP-CHI
