Order,Family,Genus,nSamples_wTaxa,fracSamples_wTaxa,OTUid,OTUalias
Coleoptera,Scarabaeidae,Phyllophaga,443,0.492769744160178,NA,NA
Coleoptera,Scarabaeidae,Maladera,330,0.3670745272525028,NA,NA
Coleoptera,Elateridae,Hemicrepidius,277,0.3081201334816463,NA,NA
Coleoptera,Pyrochroidae,Dendroides,235,0.26140155728587317,NA,NA
Coleoptera,Scarabaeidae,Diplotaxis,194,0.21579532814238042,NA,NA
Diptera,Tipulidae,Tipula,144,0.16017797552836485,NA,NA
Ephemeroptera,Ephemeridae,Hexagenia,105,0.1167964404894327,NA,NA
Lepidoptera,Tortricidae,Eucopina,86,0.09566184649610679,NA,NA
Lepidoptera,Gracillariidae,Caloptilia,77,0.08565072302558398,NA,NA
Coleoptera,Elateridae,Melanotus,75,0.08342602892102335,NA,NA
Ephemeroptera,Heptageniidae,Stenonema,75,0.08342602892102335,NA,NA
Diptera,Chironomidae,f. Chironomidae OTU-19,75,0.08342602892102335,1b18a4671325538a4ab7b6f3f4315195,OTU-19
Diptera,Chironomidae,Chironomus,72,0.08008898776418243,NA,NA
Trichoptera,Limnephilidae,Platycentropus,70,0.0778642936596218,NA,NA
Trichoptera,Hydropsychidae,Hydropsyche,68,0.07563959955506118,NA,NA
Megaloptera,Corydalidae,Chauliodes,64,0.07119021134593993,NA,NA
Diptera,Limoniidae,Pseudolimnophila,62,0.06896551724137931,NA,NA
Coleoptera,Scarabaeidae,Labarrus,59,0.06562847608453838,NA,NA
Lepidoptera,Depressariidae,Agonopterix,57,0.06340378197997776,NA,NA
Lepidoptera,Noctuidae,Amphipyra,54,0.060066740823136816,NA,NA
Lepidoptera,Tortricidae,Olethreutes,54,0.060066740823136816,NA,NA
Blattodea,Ectobiidae,Parcoblatta,53,0.058954393770856504,NA,NA
Diptera,Limoniidae,Erioptera,53,0.058954393770856504,NA,NA
Diptera,Chaoboridae,Chaoborus,52,0.05784204671857619,NA,NA
Ephemeroptera,Heptageniidae,Stenacron,52,0.05784204671857619,NA,NA
