windowA,windowB,Df,Sum.Sq,F.value,R2,p.value,BHadjusted.pvalue,sig,Metric
3 , 4,1,0.3858408830217675,1.1895817355271157,0.09019101282968581,0.206,0.206,,Dice-Sorensen
3 , 5,1,0.6611548815044009,1.7094242042926806,0.06918106185556959,0.043,0.04607142857142857,.,Dice-Sorensen
3 , 6,1,1.073269998716697,2.9425299497734057,0.21104705963505768,0.001,0.0015,*,Dice-Sorensen
3 , 7,1,1.555511944587428,4.404811334425286,0.20578603873704987,0.001,0.0015,*,Dice-Sorensen
3 , 8,1,2.156220217693375,6.541117601968698,0.153759890917064,0.001,0.0015,*,Dice-Sorensen
4 , 5,1,0.7788944405321553,2.021011083335104,0.08077255857502777,0.017,0.019615384615384614,.,Dice-Sorensen
4 , 6,1,1.0429402171354756,2.8820456356799893,0.20760957796252175,0.003,0.00409090909090909,*,Dice-Sorensen
4 , 7,1,1.5407815475630233,4.386155864913092,0.20509323380127326,0.001,0.0015,*,Dice-Sorensen
4 , 8,1,2.1301298799705406,6.4792002822779375,0.15252641855833193,0.001,0.0015,*,Dice-Sorensen
5 , 6,1,0.8544882347053069,2.092434909291582,0.08685028795012352,0.009,0.01125,.,Dice-Sorensen
5 , 7,1,1.686462899684502,4.302463642424104,0.1331930496091793,0.001,0.0015,*,Dice-Sorensen
5 , 8,1,3.0465143781808943,8.503228319074362,0.15320240960023804,0.001,0.0015,*,Dice-Sorensen
6 , 7,1,1.0514561702896266,2.7616336859392936,0.14719580033208784,0.001,0.0015,*,Dice-Sorensen
6 , 8,1,1.4959339591552752,4.37938145704448,0.11121001130557531,0.001,0.0015,*,Dice-Sorensen
7 , 8,1,0.9108749246297229,2.677760147677173,0.061307176435410206,0.001,0.0015,*,Dice-Sorensen
3 , 4,1,0.34440157758558165,1.4966524107113843,0.11089063903902513,0.049,0.0525,,Unweighted-Unifrac
3 , 5,1,0.38997564368017756,1.5019992297297065,0.0613010887661462,0.096,0.096,,Unweighted-Unifrac
3 , 6,1,0.6977008264097362,2.9397792846328943,0.21089137959836166,0.002,0.002727272727272727,*,Unweighted-Unifrac
3 , 7,1,1.2085534411216616,4.735379329514409,0.21786504195416784,0.001,0.0016666666666666668,*,Unweighted-Unifrac
3 , 8,1,1.1653050125015951,4.369616064285992,0.10824021851799787,0.001,0.0016666666666666668,*,Unweighted-Unifrac
4 , 5,1,0.5310501769689016,1.925648400133791,0.07725569939931652,0.029,0.03346153846153846,.,Unweighted-Unifrac
4 , 6,1,0.832144312732933,3.069765335277739,0.21818170112480711,0.002,0.002727272727272727,*,Unweighted-Unifrac
4 , 7,1,1.0787666686302098,3.893707855117356,0.18635791608255384,0.001,0.0016666666666666668,*,Unweighted-Unifrac
4 , 8,1,1.0954207790716657,3.954658471637035,0.09897865788151747,0.001,0.0016666666666666668,*,Unweighted-Unifrac
5 , 6,1,0.6407054917164371,2.276355232233171,0.09376841006226165,0.016,0.02,.,Unweighted-Unifrac
5 , 7,1,1.287166614874334,4.550469988244071,0.13979736667051257,0.001,0.0016666666666666668,*,Unweighted-Unifrac
5 , 8,1,1.4920561859650958,5.319832856140496,0.10167908736956403,0.001,0.0016666666666666668,*,Unweighted-Unifrac
6 , 7,1,0.8347581376406153,2.929502017772579,0.15475853590982586,0.001,0.0016666666666666668,*,Unweighted-Unifrac
6 , 8,1,0.9072375943600326,3.23317718695376,0.08456470073475901,0.001,0.0016666666666666668,*,Unweighted-Unifrac
7 , 8,1,0.6229803654708637,2.211608210846001,0.05118088176803595,0.001,0.0016666666666666668,*,Unweighted-Unifrac
