Group_A,Group_B,Df,SumsOfSqs,F.Model,R2,p.value,p.adjusted,sig,Metric
HOP-2015 , COR-2015,1,0.7547049200245213,1.8292313150719175,0.0767641763549013,0.001,0.0025,*,Dice-Sorensen
HOP-2015 , COR-2016,1,1.3541689647413029,3.652170995259832,0.10852705448852819,0.001,0.0025,*,Dice-Sorensen
COR-2015 , MAP-2016,1,1.0001452041244476,2.5087936592000455,0.11145837920881306,0.001,0.0025,*,Dice-Sorensen
COR-2015 , COR-2016,1,1.1465164386617759,3.1626583120550267,0.09536805772007012,0.001,0.0025,*,Dice-Sorensen
MAP-2016 , COR-2016,1,1.2667255637618997,3.539791581767179,0.11223256097270773,0.001,0.0025,*,Dice-Sorensen
COR-2016 , HOP-2016,1,1.2044579703704938,3.300714824688561,0.08398612695500043,0.001,0.0025,*,Dice-Sorensen
COR-2015 , HOP-2016,1,0.983961302082474,2.484319630620953,0.08149500007621946,0.002,0.004285714285714286,*,Dice-Sorensen
COR-2015 , MAP-2015,1,0.7307514974340952,1.8796028124827309,0.09002100420028215,0.003,0.005625,*,Dice-Sorensen
MAP-2015 , COR-2016,1,0.6876771694233416,1.9682103942710154,0.0679438034826019,0.004,0.006666666666666667,*,Dice-Sorensen
HOP-2015 , MAP-2016,1,0.7760389932839705,1.8879073915034115,0.08625344386445419,0.007,0.009545454545454544,*,Dice-Sorensen
MAP-2015 , HOP-2016,1,0.7204115035159214,1.8667359670048487,0.06948130838436777,0.007,0.009545454545454544,*,Dice-Sorensen
MAP-2015 , MAP-2016,1,0.7182808007067274,1.869605750513736,0.09908027625128495,0.023,0.028749999999999998,.,Dice-Sorensen
HOP-2015 , MAP-2015,1,0.6357210636876031,1.5820473222539173,0.07686540106937569,0.045,0.04821428571428571,.,Dice-Sorensen
MAP-2016 , HOP-2016,1,0.6329706718028009,1.6080453868762123,0.0582455354713599,0.045,0.04821428571428571,.,Dice-Sorensen
HOP-2015 , HOP-2016,1,0.5690292093652453,1.4052628146847632,0.047789500251736755,0.067,0.067,,Dice-Sorensen
HOP-2015 , COR-2016,1,0.7402719486781736,2.6067047699840824,0.07994382714758927,0.001,0.00375,*,Unweighted-UniFrac
COR-2015 , HOP-2016,1,0.7844464813043214,2.849947875414096,0.09238096242247999,0.001,0.00375,*,Unweighted-UniFrac
MAP-2016 , COR-2016,1,0.9021508374674375,3.3818819355835132,0.10776542791555277,0.001,0.00375,*,Unweighted-UniFrac
COR-2016 , HOP-2016,1,0.8050018823761103,2.9714353259043325,0.07624649441456978,0.001,0.00375,*,Unweighted-UniFrac
COR-2015 , MAP-2016,1,0.7754163518070633,2.859532528943068,0.125091470060577,0.002,0.006,*,Unweighted-UniFrac
HOP-2015 , COR-2015,1,0.582961292181087,1.9811071874773332,0.08261116436324696,0.003,0.0064285714285714285,*,Unweighted-UniFrac
COR-2015 , MAP-2015,1,0.6288739052594275,2.316472415562197,0.10867053283502222,0.003,0.0064285714285714285,*,Unweighted-UniFrac
HOP-2015 , MAP-2016,1,0.7008062405313655,2.4378835146966535,0.10865033295586268,0.004,0.006666666666666667,*,Unweighted-UniFrac
COR-2015 , COR-2016,1,0.557749370893805,2.042113597229621,0.0637321751897847,0.004,0.006666666666666667,*,Unweighted-UniFrac
MAP-2015 , COR-2016,1,0.5377647553978011,2.0154966975742425,0.06946276738191223,0.007,0.0105,.,Unweighted-UniFrac
HOP-2015 , MAP-2015,1,0.5297306524970872,1.8353092195555663,0.08808648819250472,0.009,0.01227272727272727,.,Unweighted-UniFrac
MAP-2015 , HOP-2016,1,0.4817097257470077,1.7928001791098838,0.06691350538670889,0.014,0.0175,.,Unweighted-UniFrac
MAP-2016 , HOP-2016,1,0.5573837724918868,2.07545450869917,0.07392416418605408,0.023,0.026538461538461535,.,Unweighted-UniFrac
MAP-2015 , MAP-2016,1,0.3904793998518091,1.497211241923236,0.08094253897743584,0.075,0.08035714285714285,,Unweighted-UniFrac
HOP-2015 , HOP-2016,1,0.37072099662344216,1.292208375309828,0.04411440608209725,0.118,0.118,,Unweighted-UniFrac
